LIMIT_BAL,EDUCATION,SEX_MAR,AgeBin,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,Closeness_1,Closeness_2,Closeness_3,Closeness_4,Closeness_5,Closeness_6,diff,default
50000,3,6,1,1,2,-1,-1,-1,-1,50614,29173,28116,28771,29531,30211,0,1500,1100,1200,1300,1100,-614,20827,21884,21229,20469,19789,190216,0
20000,1,2,1,-1,-1,2,2,2,2,15376,18010,17428,18338,17905,19104,3200,0,1500,0,1650,0,4624,1990,2572,1662,2095,896,99811,1
320000,1,1,3,-1,-1,-1,-1,-1,-1,253286,246536,194663,70074,5856,195599,10358,10000,75940,20000,195599,50000,66714,73464,125337,249926,314144,124401,604117,0
360000,1,2,3,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,360000,360000,360000,360000,360000,360000,0,0
180000,1,4,1,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,180000,180000,180000,180000,180000,180000,0,0
130000,3,4,2,-1,-1,-1,-1,-1,-1,38358,27688,24489,20616,11802,930,3000,1537,1000,2000,930,33764,91642,102312,105511,109384,118198,129070,81652,0
120000,2,2,2,-1,-1,-1,-1,-1,-1,316,316,316,0,632,316,316,316,0,632,316,0,119684,119684,119684,120000,119368,119684,316,1
70000,2,4,1,2,-1,-1,2,2,2,41087,42445,45020,44006,46905,46012,2007,3582,0,3601,0,1820,28913,27555,24980,25994,23095,23988,254465,1
450000,1,2,3,-2,-2,-2,-2,-2,-2,5512,19420,1473,560,0,0,19428,1473,560,0,0,1128,444488,430580,448527,449440,450000,450000,4376,1
90000,1,2,1,-1,-1,-1,-1,-1,-1,4744,7070,0,5398,6360,8292,5757,0,5398,1200,2045,2000,85256,82930,90000,84602,83640,81708,15464,0
50000,3,2,1,-1,-1,-1,-1,-1,-1,47620,41810,36023,28967,29829,30046,1973,1426,1001,1432,1062,997,2380,8190,13977,21033,20171,19954,206404,0
60000,1,2,1,1,-2,-1,-1,-1,-1,-109,-425,259,-57,127,-189,0,1000,0,500,0,1000,60109,60425,59741,60057,59873,60189,-2894,1
50000,3,4,2,-1,-1,-1,-1,-1,-1,22541,16138,17163,17878,18931,19617,1300,1300,1000,1500,1000,1012,27459,33862,32837,32122,31069,30383,105156,0
50000,3,2,3,-1,-1,-1,-1,-1,-1,650,3415,3416,2040,30430,257,3415,3421,2044,30430,257,0,49350,46585,46584,47960,19570,49743,641,0
50000,1,2,1,-1,-1,-1,-1,-1,-1,15329,16575,17496,17907,18375,11400,1500,1500,1000,1000,1600,0,34671,33425,32504,32093,31625,38600,90482,0
230000,1,4,1,-1,-1,-1,-1,-1,-1,16646,17265,13266,15339,14307,36923,17270,13281,15339,14307,37292,0,213354,212735,216734,214661,215693,193077,16257,0
50000,2,2,2,2,-1,-1,-1,-1,-1,30518,29618,22102,22734,23217,23680,1718,1500,1000,1000,1000,716,19482,20382,27898,27266,26783,26320,144935,1
100000,1,2,2,-1,-1,-1,-1,-1,-1,93036,84071,82880,80958,78703,75589,3023,3511,3302,3204,3200,2504,6964,15929,17120,19042,21297,24411,476493,0
500000,2,2,4,-2,-2,-2,-2,-2,-2,10929,4152,22722,7521,71439,8981,4152,22827,7521,71439,981,51582,489071,495848,477278,492479,428561,491019,-32758,0
500000,1,1,4,-2,-2,-2,-2,-2,-2,13709,5006,31130,3180,0,5293,5006,31178,3180,0,5293,768,486291,494994,468870,496820,500000,494707,12893,0
160000,1,2,2,-1,-1,-2,-2,-2,-1,30265,-131,-527,-923,-1488,-1884,131,396,396,565,792,0,129735,160131,160527,160923,161488,161884,23032,0
280000,2,1,3,-1,-1,-1,-1,-1,-1,186503,181328,180422,170410,173901,177413,8026,8060,6300,6400,6400,6737,93497,98672,99578,109590,106099,102587,1028054,0
60000,2,4,1,-1,-1,-1,-1,-1,-1,15054,9806,11068,6026,-28335,18660,1500,1518,2043,0,47671,617,44946,50194,48932,53974,88335,41340,-21070,0
50000,1,2,1,1,-1,-1,-2,-2,-2,0,780,0,0,0,0,780,0,0,0,0,0,50000,49220,50000,50000,50000,50000,0,1
280000,1,2,2,-1,-1,2,-1,-1,-1,498,9075,4641,9976,17976,9477,9075,0,9976,8000,9525,781,279502,270925,275359,270024,262024,270523,14286,0
360000,1,2,2,-1,-1,-1,-1,-1,-1,218668,221296,206895,628699,195969,179224,10000,7000,6000,188840,28000,4000,141332,138704,153105,-268699,164031,180776,1406911,0
70000,1,4,1,-1,-1,-1,-1,-1,-1,67521,66999,63949,63699,64718,65970,3000,4500,4042,2500,2800,2500,2479,3001,6051,6301,5282,4030,373514,0
10000,2,2,1,-1,-1,-1,-1,-1,-1,1877,3184,6003,3576,3670,4451,1500,2927,1000,300,1000,500,8123,6816,3997,6424,6330,5549,15534,0
140000,2,2,2,-1,-1,-1,-1,-1,-1,59504,61544,62925,64280,67079,69802,3000,3000,3000,4000,4000,3000,80496,78456,77075,75720,72921,70198,365134,0
40000,1,4,2,-1,-1,-1,2,-1,-1,18927,21295,25921,25209,26636,29197,3000,5000,0,2000,3000,0,21073,18705,14079,14791,13364,10803,134185,0
210000,1,2,1,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,210000,210000,210000,210000,210000,210000,0,1
20000,1,4,1,-1,-1,2,-1,-1,-1,14028,16484,15800,16341,16675,0,3000,0,16741,334,0,0,5972,3516,4200,3659,3325,20000,59253,1
150000,4,4,3,-1,-1,-1,-1,-1,-2,4463,3034,1170,1170,0,0,1013,1170,0,0,0,0,145537,146966,148830,148830,150000,150000,7654,1
380000,2,2,2,-1,-1,-1,-1,-1,-1,22401,21540,15134,32018,11849,11873,21540,15138,24677,11851,11875,8251,357599,358460,364866,347982,368151,368127,21483,0
20000,1,2,1,-1,-1,-1,-1,-1,-1,17447,18479,19476,19865,20480,20063,1318,1315,704,928,912,1069,2553,1521,524,135,-480,-63,109564,0
70000,3,2,3,1,2,2,2,2,-1,37042,36171,38355,39423,38659,39362,0,3100,2000,0,1500,1500,32958,33829,31645,30577,31341,30638,220912,1
100000,3,6,3,-1,-1,-1,-1,-1,-1,61559,51163,43824,39619,35762,33258,2000,1606,1500,2000,1500,1000,38441,48837,56176,60381,64238,66742,255579,0
310000,2,2,3,-2,-2,-2,-2,-2,-2,13465,7867,7600,11185,3544,464,7875,7600,11185,3544,464,0,296535,302133,302400,298815,306456,309536,13457,0
180000,1,4,1,1,2,-1,-1,-1,-1,41402,41742,42758,43510,44420,45319,1300,2010,1762,1762,1790,1622,138598,138258,137242,136490,135580,134681,248905,0
150000,1,4,1,2,-1,-1,-1,-1,-1,46224,34993,31434,26518,21042,16540,1600,1718,1049,1500,2000,5000,103776,115007,118566,123482,128958,133460,163884,0
500000,1,2,3,-2,-2,-2,-2,-2,-2,1905,3640,162,0,151,2530,3640,162,0,151,2530,0,498095,496360,499838,500000,499849,497470,1905,0
180000,3,2,2,-1,-1,-1,-1,-1,-1,16386,15793,8441,7142,-679,8321,8500,1500,7500,679,9000,2000,163614,164207,171559,172858,180679,171679,26225,0
180000,2,2,2,-1,-1,-1,-1,-1,-1,175886,173440,172308,168608,132202,129918,8083,7296,5253,4814,4816,3800,4114,6560,7692,11392,47798,50082,918300,0
200000,1,4,2,-1,3,2,2,2,2,1587,1098,782,1166,700,1414,0,0,700,0,1200,0,198413,198902,199218,198834,199300,198586,4847,0
400000,2,2,1,-1,-1,-1,-1,-1,-1,400134,398857,404205,360199,356656,364089,17000,15029,30000,12000,12000,23000,-134,1143,-4205,39801,43344,35911,2175111,0
500000,3,2,1,-1,-1,-1,-1,-1,-1,22848,23638,18878,14937,13827,15571,1516,1300,1000,1000,2000,2000,477152,476362,481122,485063,486173,484429,100883,1
70000,2,1,2,-1,-1,-1,-1,-1,-1,70800,72060,69938,16518,14096,830,4025,2095,1000,2000,3000,0,-800,-2060,62,53482,55904,69170,232122,0
50000,1,2,1,2,2,2,2,2,2,24987,24300,26591,25865,27667,28264,0,2700,0,2225,1200,0,25013,25700,23409,24135,22333,21736,151549,1
50000,2,2,3,-1,-1,-1,-2,-2,-2,28718,29166,0,0,0,0,1000,0,0,0,0,0,21282,20834,50000,50000,50000,50000,56884,1
130000,2,2,4,-1,-1,-2,-2,-1,-1,99,0,0,0,2353,0,0,0,0,2353,0,0,129901,130000,130000,130000,127647,130000,99,0
200000,1,1,4,-2,-2,-2,-1,2,2,152519,148751,144076,8174,8198,7918,0,0,8222,300,0,1000,47481,51249,55924,191826,191802,192082,460114,1
10000,2,1,4,2,2,2,-1,-1,-1,2097,4193,3978,4062,4196,4326,2300,0,150,200,200,160,7903,5807,6022,5938,5804,5674,19842,1
210000,1,4,2,2,-1,-1,-1,-1,-1,300,300,1159,2280,300,4250,300,1159,2280,300,4250,909,209700,209700,208841,207720,209700,205750,-609,0
130000,3,4,1,1,-2,-2,-1,2,-1,-190,-9850,-9850,10311,10161,7319,0,0,20161,0,7319,13899,130190,139850,139850,119689,119839,122681,-33478,0
20000,4,2,1,2,-1,-1,-1,-1,-1,18565,17204,17285,18085,11205,5982,0,1200,1000,500,1000,0,1435,2796,2715,1915,8795,14018,84626,0
80000,1,2,2,-1,-1,-1,-1,-1,-1,780,0,390,390,390,390,0,390,390,390,390,390,79220,80000,79610,79610,79610,79610,390,0
320000,2,2,1,2,2,2,2,2,2,58267,59246,60184,58622,62307,63526,2500,2500,0,4800,2400,1600,261733,260754,259816,261378,257693,256474,348352,1
200000,2,2,2,-1,-1,-1,-1,2,-1,9076,5787,-684,5247,3848,3151,5818,15,9102,17,3165,1395,190924,194213,200684,194753,196152,196849,6913,0
290000,1,4,2,1,-2,-1,-1,-1,-1,0,0,3155,0,2359,0,0,3155,0,2359,0,0,290000,290000,286845,290000,287641,290000,0,0
340000,1,2,2,-1,-1,-1,-1,-1,-1,3048,5550,23337,4291,80153,25820,5713,23453,4314,80552,25949,2016,336952,334450,316663,335709,259847,314180,202,0
20000,2,2,1,-1,-1,2,-1,-1,-1,14619,17216,16642,16976,17332,18543,2850,0,610,630,1500,0,5381,2784,3358,3024,2668,1457,95738,0
50000,3,2,1,-1,-1,-1,-1,-1,-1,42838,37225,36087,9636,9590,10030,1759,1779,320,500,1000,1000,7162,12775,13913,40364,40410,39970,139048,0
300000,1,2,3,-1,-1,-1,-1,-1,-1,291,291,291,291,291,291,291,291,291,291,291,291,299709,299709,299709,299709,299709,299709,0,0
30000,2,4,1,-1,-1,-1,-1,-1,-1,28387,29612,30326,28004,26446,6411,1686,1400,560,3000,1765,0,1613,388,-326,1996,3554,23589,140775,1
240000,2,4,3,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,240000,240000,240000,240000,240000,240000,0,1
470000,3,6,2,-1,-1,-1,-1,-1,-1,165254,157784,162702,69923,29271,29889,6400,7566,3000,960,1000,3000,304746,312216,307298,400077,440729,440111,592897,0
360000,1,4,1,-1,-1,-1,-1,-1,-1,23411,27796,30400,33100,180000,196,4796,3400,3100,146900,196,2963,336589,332204,329600,326900,180000,359804,133548,0
60000,3,2,2,-1,-1,-1,-1,-1,-1,26324,27471,28108,21993,19899,19771,1576,1213,648,768,1140,0,33676,32529,31892,38007,40101,40229,138221,1
400000,2,2,3,-1,-1,2,-1,-1,-1,131595,139060,126819,104430,104990,94058,10700,3,3050,3000,3200,2800,268405,260940,273181,295570,295010,305942,678199,0
50000,3,4,3,-1,-1,-1,-1,-1,-1,48909,47863,21489,20414,19342,19482,1676,1302,700,699,849,826,1091,2137,28511,29586,30658,30518,171447,0
160000,2,2,2,-1,-1,-1,-1,-1,-1,130028,107808,71934,118418,118407,120418,4400,3547,80000,4500,4800,4500,29972,52192,88066,41582,41593,39582,565266,0
360000,1,2,3,-1,-1,2,-1,-1,-1,390,1170,780,390,390,390,1170,0,0,390,390,390,359610,358830,359220,359610,359610,359610,1170,1
160000,2,4,2,-1,-1,-1,-1,-1,-1,3826,4751,6604,8604,7072,766,1147,2000,2000,0,766,2303,156174,155249,153396,151396,152928,159234,23407,0
130000,1,2,2,-1,-1,-1,-1,-1,-1,81313,117866,17740,1330,7095,1190,40000,5000,1330,7095,1190,2090,48687,12134,112260,128670,122905,128810,169829,0
20000,3,2,3,2,2,-1,-1,-1,2,8583,8303,9651,10488,12314,11970,0,1651,1000,2000,0,1500,11417,11697,10349,9512,7686,8030,55158,0
200000,1,1,4,2,2,2,2,2,2,138180,140774,142460,144098,147124,149531,6300,5500,5500,5500,5000,5000,61820,59226,57540,55902,52876,50469,829367,1
280000,1,4,2,-1,-1,-1,-1,-1,-2,7524,0,3968,3868,0,0,0,3968,0,0,0,0,272476,280000,276032,276132,280000,280000,11392,0
100000,1,4,1,-2,-2,-2,-2,-2,-2,-2000,5555,0,0,0,0,7555,0,0,0,0,0,102000,94445,100000,100000,100000,100000,-4000,0
160000,2,2,2,-1,-1,-1,-1,-1,-2,880,1602,840,840,0,0,1602,840,840,0,0,7736,159120,158398,159160,159160,160000,160000,-6856,0
60000,2,4,1,-1,-1,-1,-1,-1,-1,45648,46850,47214,19595,19209,19323,1937,1301,682,690,816,835,14352,13150,12786,40405,40791,40677,191578,0
90000,2,2,2,-1,-1,-1,-1,-1,-1,83725,85996,87653,35565,30942,30835,3621,3597,1179,1112,1104,1143,6275,4004,2347,54435,59058,59165,342960,0
360000,1,1,3,-1,-1,-1,-1,-1,-1,3967,8322,3394,6451,26370,9956,8339,3394,12902,27000,0,68978,356033,351678,356606,353549,333630,350044,-62153,0
150000,1,2,1,-1,-1,-1,-1,-1,-1,86009,86108,89006,89775,87725,40788,4031,10006,3266,4040,1698,800,63991,63892,60994,60225,62275,109212,455570,0
50000,3,2,1,-1,-1,-1,-1,-1,-1,18722,18160,16997,13150,8866,7899,1411,1194,379,281,321,197,31278,31840,33003,36850,41134,42101,80011,0
20000,2,1,2,-1,-1,-1,-1,-1,-1,17973,19367,19559,18240,17928,150,1699,1460,626,1750,150,0,2027,633,441,1760,2072,19850,87532,1
140000,1,2,2,-2,-2,-2,-2,-2,-2,672,10212,850,415,100,1430,10212,850,415,100,1430,0,139328,129788,139150,139585,139900,138570,672,0
380000,1,4,2,-2,-2,-1,-1,-1,-1,-81,-303,32475,32891,33564,34056,223,33178,1171,1197,1250,5000,380081,380303,347525,347109,346436,345944,90583,0
480000,1,1,5,-1,-1,-1,2,2,-1,422069,431342,479432,487066,471145,469961,16078,55693,17000,0,18000,24200,57931,48658,568,-7066,8855,10039,2630044,0
50000,3,4,1,-1,-1,-1,-1,-1,-1,44698,42254,38347,32496,23477,24094,1767,1362,1002,840,995,904,5302,7746,11653,17504,26523,25906,198496,1
60000,2,4,1,2,2,2,2,2,-1,56685,55208,59175,60218,55447,55305,0,5000,2511,6,3000,3000,3315,4792,825,-218,4553,4695,328521,0
70000,2,4,1,-1,-1,-2,-2,-2,-1,5580,0,0,0,0,26529,0,0,0,0,26529,2000,64420,70000,70000,70000,70000,43471,3580,0
80000,2,2,2,-1,-1,-1,-1,-1,-1,6108,2861,3277,3319,1150,1150,2861,3279,3319,1150,1150,1035,73892,77139,76723,76681,78850,78850,5071,0
350000,1,2,4,-1,-1,-1,-1,-1,-1,713,2272,722,867,1150,5263,2272,722,867,1150,5263,5011,349287,347728,349278,349133,348850,344737,-4298,0
130000,2,2,2,-1,-1,-1,-1,-1,-1,171438,178382,39940,120483,44127,126568,10908,0,133657,4566,133841,4796,-41438,-48382,90060,9517,85873,3432,393170,0
360000,2,1,2,1,-2,-2,-2,-2,-2,-103,-103,-103,-103,-103,-103,0,0,0,0,0,0,360103,360103,360103,360103,360103,360103,-618,0
330000,1,2,2,-1,-1,2,-1,-1,-1,105879,108431,105594,105896,106491,107289,9260,0,3593,4100,15794,0,224121,221569,224406,224104,223509,222711,606833,0
50000,3,1,3,-1,-1,2,-1,-1,-1,13244,14722,15181,15928,16671,17393,2000,1000,1000,1000,1000,1000,36756,35278,34819,34072,33329,32607,86139,0
280000,2,1,3,2,2,2,2,2,3,135673,138532,134813,144401,152174,149415,6500,0,14254,14850,0,5000,144327,141468,145187,135599,127826,130585,814404,0
100000,1,4,1,-1,-1,-1,-1,-1,-1,52128,52692,54477,56076,60100,59713,2000,2677,3076,5080,3000,2033,47872,47308,45523,43924,39900,40287,317320,0
50000,2,2,3,-1,-1,-1,-1,-1,-1,19015,19294,20259,20274,20311,19957,1340,1305,700,718,724,684,30985,30706,29741,29726,29689,30043,113639,0
30000,1,2,1,-1,2,-1,-1,3,2,18199,17618,18631,21319,20692,21201,0,1312,3000,0,1000,1000,11801,12382,11369,8681,9308,8799,111348,1
240000,1,2,1,-1,-1,-1,-1,-1,-1,326,326,326,5676,476,326,326,326,5676,476,326,526,239674,239674,239674,234324,239524,239674,-200,0
80000,2,2,1,2,-1,-1,-1,-1,-1,14029,15493,16630,17055,17629,18186,2000,1700,1000,1000,1000,1000,65971,64507,63370,62945,62371,61814,91322,1
400000,2,1,2,-1,-1,-1,-1,-1,-1,19660,9666,11867,7839,14837,7959,9677,11867,7839,14837,7959,5712,380340,390334,388133,392161,385163,392041,13937,0
240000,2,4,2,-1,-1,-1,-1,-1,-1,50254,51445,53015,52479,1307,1203,2000,3000,3000,1307,1203,563,189746,188555,186985,187521,238693,238797,198630,0
50000,3,2,2,2,2,2,3,2,2,46004,45976,48953,48851,49318,51143,1000,4035,1000,1400,2800,0,3996,4024,1047,1149,682,-1143,280010,1
450000,1,1,3,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,450000,450000,450000,450000,450000,450000,0,1
110000,1,2,3,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,110000,110000,110000,110000,110000,110000,0,0
310000,2,2,2,2,-1,-1,-1,-1,-1,304991,311243,306314,258610,246491,198889,13019,11128,8407,8599,6833,5987,5009,-1243,3686,51390,63509,111111,1572565,1
20000,1,2,1,-1,-1,-1,-1,-1,-1,19115,18962,19298,19378,19717,15630,1404,1130,600,861,313,0,885,1038,702,622,283,4370,107792,0
20000,2,2,1,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,20000,20000,20000,20000,20000,20000,0,0
200000,3,2,4,-1,-1,-1,-1,-1,-1,110151,99530,98951,100914,103146,104993,3568,3585,3602,3848,3669,3784,89849,100470,101049,99086,96854,95007,595629,0
180000,1,1,2,-1,-1,-1,-1,-1,-1,163736,116422,99278,95766,97753,95927,4655,2690,2067,2142,2217,1000,16264,63578,80722,84234,82247,84073,654111,1
50000,2,1,4,-1,-1,-1,-1,-1,-1,3347,3899,4503,5347,6375,7077,1000,1066,1300,1500,1200,134,46653,46101,45497,44653,43625,42923,24348,1
60000,3,1,4,3,2,2,-1,-1,-1,60521,61450,57244,28853,29510,26547,2504,7,1200,1200,1100,1500,-521,-1450,2756,31147,30490,33453,256614,0
30000,1,4,1,1,-2,-2,-2,-1,-1,4000,5645,3508,-27,13744,5906,5645,3508,27,13771,5911,3024,26000,24355,26492,30027,16256,24094,890,0
240000,1,2,3,1,-1,-1,-1,-1,-1,95,2622,3301,3164,360,1737,2622,3301,0,360,1737,924,239905,237378,236699,236836,239640,238263,2335,0
420000,2,1,2,-1,-1,-1,-1,-1,-1,253454,247743,229049,220951,210606,188108,9744,9553,7603,7830,7253,11326,166546,172257,190951,199049,209394,231892,1296602,0
330000,3,1,3,-1,-1,-1,-1,-1,-1,227389,228719,229644,227587,227775,228203,8210,8095,8025,8175,8391,8200,102611,101281,100356,102413,102225,101797,1320221,0
30000,2,4,1,-1,-1,-1,-1,-1,-1,28452,26145,26712,25350,17603,-780,2000,1400,0,500,0,1560,1548,3855,3288,4650,12397,30780,118022,0
240000,2,1,2,-1,-1,-1,2,2,2,10674,12035,13681,13269,14158,13891,1500,1800,0,1000,0,327,229326,227965,226319,226731,225842,226109,73081,0
150000,1,2,1,-1,-1,-1,-1,-1,-1,17444,19342,22000,24614,27200,30229,2500,3000,3000,3000,3500,5000,132556,130658,128000,125386,122800,119771,120829,0
210000,2,2,2,-1,-1,-1,-1,-1,-1,7166,7997,8792,9189,4404,5708,1500,1500,1000,500,2000,546,202834,202003,201208,200811,205596,204292,36210,0
50000,3,2,4,-1,-1,-1,-1,-2,-2,752,300,5880,0,0,0,300,5880,0,0,0,0,49248,49700,44120,50000,50000,50000,752,1
50000,1,2,1,-1,-1,-1,-1,-1,-1,50801,50143,49586,19430,19375,18995,2360,1700,1000,900,870,2130,-801,-143,414,30570,30625,31005,199370,0
240000,1,2,3,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,240000,240000,240000,240000,240000,240000,0,1
180000,2,2,1,-1,-1,-1,-1,-1,-1,1832,0,832,332,416,416,0,416,332,500,3500,832,178168,180000,179168,179668,179584,179584,-1752,0
50000,2,2,1,1,2,2,2,-1,-1,10131,10833,20583,19996,19879,18065,1000,10000,400,700,800,600,39869,39167,29417,30004,30121,31935,85987,0
170000,2,2,1,-2,-2,-2,-2,-2,-2,12159,10000,10000,10000,9983,15846,10000,10000,10000,9983,15863,10000,157841,160000,160000,160000,160017,154154,2142,0
20000,1,2,1,-1,-1,-1,-1,-1,-1,1199,15586,344,2340,6702,339,15586,344,2340,4702,339,330,18801,4414,19656,17660,13298,19661,2869,0
50000,1,2,1,-1,-1,-1,-1,-1,3,4999,5913,7315,9195,10624,10138,1000,1500,2000,1583,1100,0,45001,44087,42685,40805,39376,39862,41001,0
170000,2,4,1,-1,-1,-1,-1,-1,-1,19269,20313,20852,17560,17918,9100,1661,1200,351,358,182,0,150731,149687,149148,152440,152082,160900,101260,1
200000,1,2,2,1,2,-1,-1,-1,-1,197236,176192,93069,135668,132233,59875,8000,5000,55500,5000,5000,8500,2764,23808,106931,64332,67767,140125,707273,0
80000,2,2,1,1,2,3,2,-1,-1,9168,10522,10205,9898,10123,12034,1650,0,0,379,2091,1,70832,69478,69795,70102,69877,67966,57829,0
260000,1,2,5,1,-2,-1,-1,-1,-1,-1100,-1100,21400,0,969,869,0,22500,0,969,1000,0,261100,261100,238600,260000,259031,259131,-3431,0
140000,2,1,2,-1,-1,-1,-1,2,-1,86627,78142,68336,64648,58319,55251,3455,3110,5000,0,2100,2602,53373,61858,71664,75352,81681,84749,395056,0
80000,1,2,1,-1,-1,-1,-1,-1,-1,42444,55744,43476,41087,41951,31826,30000,3000,6000,8000,2000,14000,37556,24256,36524,38913,38049,48174,193528,0
350000,1,2,3,1,-1,-1,-1,-1,-2,208,2906,1000,630,0,0,2906,1000,630,0,0,0,349792,347094,349000,349370,350000,350000,208,0
280000,2,2,4,-1,-1,-1,-1,-1,-1,208775,182350,132257,101783,177145,169311,8042,6700,5137,100000,7000,6321,71225,97650,147743,178217,102855,110689,838421,0
30000,3,4,1,-1,-1,-1,-1,-1,-1,9014,10406,11427,11935,13084,14206,1700,1500,1000,1500,1500,1500,20986,19594,18573,18065,16916,15794,61372,0
140000,1,1,2,-1,-1,-1,-1,-1,-1,23944,28049,32073,43129,47086,48699,5000,5000,11885,5000,3000,5504,116056,111951,107927,96871,92914,91301,187591,0
200000,1,4,2,-1,-1,-1,-1,-1,-1,105420,102870,89643,90938,92505,94031,4000,3250,3250,3500,3560,5000,94580,97130,110357,109062,107495,105969,552847,0
200000,3,4,2,-1,-1,-1,-1,-1,-1,196031,196143,189524,167163,146975,122324,7300,7108,7680,6200,5000,4500,3969,3857,10476,32837,53025,77676,980372,0
210000,3,1,3,2,3,4,4,5,6,115785,122904,129847,137277,145533,154105,10478,10478,11078,11078,11678,10478,94215,87096,80153,72723,64467,55895,740183,1
50000,3,1,4,3,2,-1,-1,-1,-1,12854,12362,13447,13427,13711,14083,0,1600,500,500,600,600,37146,37638,36553,36573,36289,35917,76084,0
30000,1,2,3,2,2,2,2,2,-1,24357,27453,26718,28168,27579,28321,3500,0,2200,0,1200,1250,5643,2547,3282,1832,2421,1679,154446,0
50000,2,2,1,2,-1,-1,-1,-1,2,390,390,780,216,1080,540,390,780,216,864,0,390,49610,49610,49220,49784,48920,49460,756,0
290000,3,1,3,-1,-1,-1,-1,-1,-1,1234,396,396,792,396,423,396,396,792,0,423,369,288766,289604,289604,289208,289604,289577,1261,0
250000,1,2,2,-1,-1,2,-1,-1,-1,141223,156858,151841,152803,155997,160220,17994,0,5469,5656,6811,3920,108777,93142,98159,97197,94003,89780,879092,0
60000,2,2,3,-1,-1,-1,-1,-1,-1,21148,23803,24908,26034,26655,27756,3000,1500,1500,1000,1500,1500,38852,36197,35092,33966,33345,32244,140304,0
